date,week,month,quarter,year,day_of_week,weekend_flag,holiday_flag,holiday_name
2025-01-01,1,1,1,2025,Wednesday,False,True,New Year's Day
2025-01-02,1,1,1,2025,Thursday,False,False,
2025-01-03,1,1,1,2025,Friday,False,False,
2025-01-04,1,1,1,2025,Saturday,True,False,
2025-01-05,1,1,1,2025,Sunday,True,False,
2025-01-06,2,1,1,2025,Monday,False,False,
2025-01-07,2,1,1,2025,Tuesday,False,False,
2025-01-08,2,1,1,2025,Wednesday,False,False,
2025-01-09,2,1,1,2025,Thursday,False,False,
2025-01-10,2,1,1,2025,Friday,False,False,
2025-01-11,2,1,1,2025,Saturday,True,False,
2025-01-12,2,1,1,2025,Sunday,True,False,
2025-01-13,3,1,1,2025,Monday,False,False,
2025-01-14,3,1,1,2025,Tuesday,False,False,
2025-01-15,3,1,1,2025,Wednesday,False,False,
2025-01-16,3,1,1,2025,Thursday,False,False,
2025-01-17,3,1,1,2025,Friday,False,False,
2025-01-18,3,1,1,2025,Saturday,True,False,
2025-01-19,3,1,1,2025,Sunday,True,False,
2025-01-20,4,1,1,2025,Monday,False,False,
2025-01-21,4,1,1,2025,Tuesday,False,False,
2025-01-22,4,1,1,2025,Wednesday,False,False,
2025-01-23,4,1,1,2025,Thursday,False,False,
2025-01-24,4,1,1,2025,Friday,False,False,
2025-01-25,4,1,1,2025,Saturday,True,False,
2025-01-26,4,1,1,2025,Sunday,True,False,
2025-01-27,5,1,1,2025,Monday,False,False,
2025-01-28,5,1,1,2025,Tuesday,False,False,
2025-01-29,5,1,1,2025,Wednesday,False,False,
2025-01-30,5,1,1,2025,Thursday,False,False,
2025-01-31,5,1,1,2025,Friday,False,False,
2025-02-01,5,2,1,2025,Saturday,True,False,
2025-02-02,5,2,1,2025,Sunday,True,False,
2025-02-03,6,2,1,2025,Monday,False,False,
2025-02-04,6,2,1,2025,Tuesday,False,False,
2025-02-05,6,2,1,2025,Wednesday,False,False,
2025-02-06,6,2,1,2025,Thursday,False,False,
2025-02-07,6,2,1,2025,Friday,False,False,
2025-02-08,6,2,1,2025,Saturday,True,False,
2025-02-09,6,2,1,2025,Sunday,True,False,
2025-02-10,7,2,1,2025,Monday,False,False,
2025-02-11,7,2,1,2025,Tuesday,False,False,
2025-02-12,7,2,1,2025,Wednesday,False,False,
2025-02-13,7,2,1,2025,Thursday,False,False,
2025-02-14,7,2,1,2025,Friday,False,True,Valentine's Day
2025-02-15,7,2,1,2025,Saturday,True,False,
2025-02-16,7,2,1,2025,Sunday,True,False,
2025-02-17,8,2,1,2025,Monday,False,False,
2025-02-18,8,2,1,2025,Tuesday,False,False,
2025-02-19,8,2,1,2025,Wednesday,False,False,
2025-02-20,8,2,1,2025,Thursday,False,False,
2025-02-21,8,2,1,2025,Friday,False,False,
2025-02-22,8,2,1,2025,Saturday,True,False,
2025-02-23,8,2,1,2025,Sunday,True,False,
2025-02-24,9,2,1,2025,Monday,False,False,
2025-02-25,9,2,1,2025,Tuesday,False,False,
2025-02-26,9,2,1,2025,Wednesday,False,False,
2025-02-27,9,2,1,2025,Thursday,False,False,
2025-02-28,9,2,1,2025,Friday,False,False,
