order_id,order_date,customer_id,product_id,units_ordered,unit_price,discount_amount,net_sales,order_status,fulfillment_type,return_flag
ORD-00000398,2025-02-24,CUST-0000209,P00005,1,8.03,0.0,8.03,DELIVERED,STANDARD_SHIP,False
ORD-00000400,2025-02-24,CUST-0000271,P00006,1,7.47,0.0,7.47,DELIVERED,EXPEDITED_SHIP,False
ORD-00000401,2025-02-24,CUST-0000306,P00007,1,2.87,0.0,2.87,DELIVERED,EXPEDITED_SHIP,False
ORD-00000402,2025-02-24,CUST-0000216,P00008,1,1.86,0.0,1.86,DELIVERED,STANDARD_SHIP,False
ORD-00000403,2025-02-24,CUST-0000197,P00009,3,3.29,0.0,9.87,SHIPPED,STANDARD_SHIP,False
ORD-00000404,2025-02-24,CUST-0000299,P00012,1,11.92,0.0,11.92,DELIVERED,EXPEDITED_SHIP,False
ORD-00000406,2025-02-25,CUST-0000232,P00003,2,5.81,1.4,10.22,DELIVERED,STANDARD_SHIP,False
ORD-00000408,2025-02-25,CUST-0000061,P00003,3,5.81,3.7,13.73,CANCELLED,EXPEDITED_SHIP,False
ORD-00000409,2025-02-25,CUST-0000052,P00004,1,7.51,0.83,6.68,SHIPPED,EXPEDITED_SHIP,False
ORD-00000411,2025-02-25,CUST-0000361,P00004,1,7.51,0.82,6.69,PROCESSING,SUBSCRIBE_AND_SAVE,False
ORD-00000412,2025-02-25,CUST-0000481,P00005,1,8.03,1.27,6.76,SHIPPED,EXPEDITED_SHIP,False
