shipment_id,retailer_id,distribution_center_id,product_id,shipment_date,units_shipped,shipment_status,estimated_delivery_date,actual_delivery_date
SHP-0000005,RTL-WMT,DC-MW-01,P00001,2025-01-26,61,DELIVERED,2025-01-30,2025-02-01
SHP-0000014,RTL-WMT,DC-MW-01,P00003,2025-01-26,151,DELIVERED,2025-01-31,2025-01-30
SHP-0000023,RTL-WMT,DC-MW-01,P00004,2025-01-27,187,DELIVERED,2025-01-31,
SHP-0000041,RTL-WMT,DC-MW-01,P00007,2025-01-27,87,DELIVERED,2025-02-01,2025-02-01
SHP-0000051,RTL-WMT,DC-MW-01,P00008,2025-01-26,264,DELIVERED,2025-01-29,2025-01-31
SHP-0000060,RTL-WMT,DC-MW-01,P00009,2025-01-27,140,DELIVERED,2025-01-31,2025-02-02
SHP-0000083,RTL-TGT,DC-MW-01,P00001,2025-01-27,42,DELIVERED,2025-02-03,2025-02-05
SHP-0000101,RTL-TGT,DC-MW-01,P00003,2025-01-26,64,DELIVERED,2025-01-30,2025-01-29
SHP-0000110,RTL-TGT,DC-MW-01,P00005,2025-01-27,74,IN_TRANSIT,2025-02-01,
SHP-0000128,RTL-TGT,DC-MW-01,P00008,2025-01-27,276,DELAYED,2025-01-31,2025-02-04
SHP-0000142,RTL-KRG,DC-SE-01,P00004,2025-01-26,45,DELIVERED,2025-02-01,2025-01-31
SHP-0000169,RTL-KRG,DC-SE-01,P00011,2025-01-27,64,DELIVERED,2025-02-02,2025-02-01
SHP-0000192,RTL-AMZ,DC-SE-01,P00002,2025-01-27,105,DELIVERED,2025-01-30,2025-01-31
SHP-0000201,RTL-AMZ,DC-SE-01,P00003,2025-01-27,44,DELIVERED,2025-02-01,2025-02-01
SHP-0000228,RTL-AMZ,DC-SE-01,P00006,2025-01-26,17,DELIVERED,2025-01-31,2025-02-02
SHP-0000255,RTL-AMZ,DC-SE-01,P00009,2025-01-26,121,DELIVERED,2025-01-31,2025-02-02
SHP-0000264,RTL-AMZ,DC-SE-01,P00011,2025-01-26,98,DELIVERED,2025-02-01,2025-02-02
