promotion_id,retailer_id,product_id,promotion_type,start_date,end_date,regular_price,promotional_price,discount_percentage,display_type,marketing_spend
PROMO-000001,RTL-WMT,P00001,Display Only,2025-01-03,2025-01-30,2.18,1.96,10.0,None,7614.67
PROMO-000002,RTL-WMT,P00001,Feature Ad,2025-01-31,2025-02-06,2.18,1.96,10.0,End Cap,363.31
PROMO-000003,RTL-WMT,P00003,Feature + Display,2025-02-04,2025-02-17,4.28,3.64,15.0,None,675.56
PROMO-000004,RTL-WMT,P00003,Display Only,2025-01-21,2025-02-03,4.28,3.85,10.0,Aisle Display,408.02
PROMO-000005,RTL-WMT,P00003,Display Only,2025-02-20,2025-02-26,4.28,3.64,15.0,Digital Banner,1436.36
PROMO-000006,RTL-WMT,P00003,Digital Coupon,2025-01-04,2025-01-17,4.28,3.42,20.0,Digital Banner,2505.47
PROMO-000007,RTL-WMT,P00004,Feature Ad,2025-01-03,2025-01-16,5.77,4.9,15.0,Digital Banner,679.67
PROMO-000008,RTL-WMT,P00004,Display Only,2025-01-30,2025-02-19,5.77,5.19,10.0,Digital Banner,4546.02
PROMO-000009,RTL-WMT,P00004,Display Only,2025-01-19,2025-01-25,5.77,5.19,10.0,End Cap,239.17
PROMO-000010,RTL-WMT,P00005,Temporary Price Reduction,2025-01-05,2025-01-25,5.9,4.72,20.0,None,556.28
PROMO-000011,RTL-WMT,P00005,Feature + Display,2025-02-13,2025-02-26,5.9,5.02,15.0,None,3874.94
PROMO-000012,RTL-WMT,P00005,Feature Ad,2025-01-28,2025-02-10,5.9,5.02,15.0,Aisle Display,2145.14
PROMO-000013,RTL-WMT,P00007,Digital Coupon,2025-02-04,2025-02-10,2.04,1.63,20.0,End Cap,1182.22
PROMO-000014,RTL-WMT,P00007,Display Only,2025-01-10,2025-01-16,2.04,1.63,20.0,None,966.12
PROMO-000015,RTL-WMT,P00007,Digital Coupon,2025-02-11,2025-02-17,2.04,1.63,20.0,None,1745.67
PROMO-000016,RTL-WMT,P00007,Feature Ad,2025-01-02,2025-01-08,2.04,1.73,15.0,Aisle Display,1906.91
PROMO-000017,RTL-WMT,P00007,Feature Ad,2025-01-22,2025-01-28,2.04,1.84,10.0,End Cap,1573.66
PROMO-000018,RTL-WMT,P00008,Temporary Price Reduction,2025-01-03,2025-01-23,1.37,1.03,25.0,None,3778.2
PROMO-000019,RTL-WMT,P00008,Feature Ad,2025-01-27,2025-02-02,1.37,1.03,25.0,Front of Store,163.49
PROMO-000020,RTL-WMT,P00008,Digital Coupon,2025-02-14,2025-02-27,1.37,1.1,20.0,Front of Store,1999.38
PROMO-000021,RTL-WMT,P00008,Feature Ad,2025-02-07,2025-02-13,1.37,1.03,25.0,Digital Banner,681.79
PROMO-000022,RTL-WMT,P00009,Feature + Display,2025-02-09,2025-02-15,2.55,2.04,20.0,End Cap,1901.77
PROMO-000023,RTL-WMT,P00009,Digital Coupon,2025-01-02,2025-01-08,2.55,2.17,15.0,Front of Store,1447.92
PROMO-000024,RTL-WMT,P00009,Feature Ad,2025-02-20,2025-02-26,2.55,1.91,25.0,Front of Store,436.49
PROMO-000025,RTL-WMT,P00009,Temporary Price Reduction,2025-01-24,2025-01-30,2.55,2.04,20.0,Digital Banner,859.78
PROMO-000026,RTL-WMT,P00011,Display Only,2025-02-01,2025-02-07,5.58,4.46,20.0,Digital Banner,149.34
PROMO-000027,RTL-WMT,P00011,Feature Ad,2025-02-13,2025-02-26,5.58,4.74,15.0,Front of Store,3707.43
PROMO-000028,RTL-WMT,P00011,Digital Coupon,2025-01-08,2025-01-14,5.58,5.02,10.0,Front of Store,526.48
PROMO-000029,RTL-WMT,P00012,Display Only,2025-01-26,2025-02-15,9.37,7.5,20.0,End Cap,5552.31
PROMO-000030,RTL-WMT,P00012,Feature + Display,2025-01-16,2025-01-22,9.37,7.96,15.0,Aisle Display,874.09
PROMO-000031,RTL-WMT,P00012,Feature Ad,2025-02-20,2025-02-26,9.37,8.43,10.0,Digital Banner,286.73
PROMO-000032,RTL-TGT,P00001,Feature + Display,2025-01-16,2025-01-29,2.25,1.8,20.0,None,2621.95
PROMO-000033,RTL-TGT,P00001,Temporary Price Reduction,2025-01-07,2025-01-13,2.25,2.02,10.0,Front of Store,106.48
PROMO-000034,RTL-TGT,P00001,Digital Coupon,2025-02-06,2025-02-19,2.25,2.02,10.0,None,3559.17
PROMO-000035,RTL-TGT,P00001,Digital Coupon,2025-01-30,2025-02-05,2.25,1.8,20.0,End Cap,943.84
PROMO-000036,RTL-TGT,P00002,Digital Coupon,2025-01-26,2025-02-22,4.07,2.85,30.0,None,2953.45
PROMO-000037,RTL-TGT,P00002,Temporary Price Reduction,2025-01-04,2025-01-10,4.07,3.46,15.0,Aisle Display,1712.33
PROMO-000038,RTL-TGT,P00003,Temporary Price Reduction,2025-01-10,2025-01-23,4.59,3.44,25.0,None,983.26
PROMO-000039,RTL-TGT,P00003,Display Only,2025-02-15,2025-02-21,4.59,4.13,10.0,None,701.73
PROMO-000040,RTL-TGT,P00003,Temporary Price Reduction,2025-01-30,2025-02-12,4.59,4.13,10.0,Aisle Display,3430.62
PROMO-000041,RTL-TGT,P00005,Temporary Price Reduction,2025-01-06,2025-01-26,6.0,5.1,15.0,Front of Store,1924.36
PROMO-000042,RTL-TGT,P00005,Feature + Display,2025-02-02,2025-02-22,6.0,4.8,20.0,Front of Store,3535.74
PROMO-000043,RTL-TGT,P00006,Digital Coupon,2025-01-01,2025-01-07,5.7,4.84,15.0,Digital Banner,1823.76
PROMO-000044,RTL-TGT,P00006,Display Only,2025-01-31,2025-02-13,5.7,3.99,30.0,None,219.67
PROMO-000045,RTL-TGT,P00006,Display Only,2025-01-08,2025-01-14,5.7,4.84,15.0,End Cap,1035.96
PROMO-000046,RTL-TGT,P00006,Temporary Price Reduction,2025-01-21,2025-01-27,5.7,5.13,10.0,Aisle Display,243.0
PROMO-000047,RTL-TGT,P00008,Feature Ad,2025-01-04,2025-01-10,1.39,1.04,25.0,Aisle Display,1825.91
PROMO-000048,RTL-TGT,P00008,Feature + Display,2025-02-11,2025-02-17,1.39,1.25,10.0,Digital Banner,1014.46
PROMO-000049,RTL-TGT,P00008,Digital Coupon,2025-01-20,2025-02-02,1.39,1.18,15.0,None,654.67
PROMO-000050,RTL-TGT,P00012,Feature + Display,2025-01-02,2025-01-15,8.94,7.6,15.0,End Cap,602.06
PROMO-000051,RTL-TGT,P00012,Display Only,2025-02-11,2025-02-24,8.94,7.15,20.0,Digital Banner,3468.28
PROMO-000052,RTL-TGT,P00012,Feature Ad,2025-01-26,2025-02-01,8.94,8.05,10.0,Aisle Display,514.08
PROMO-000053,RTL-KRG,P00004,Feature Ad,2025-02-08,2025-02-21,6.36,5.72,10.0,Aisle Display,3628.65
PROMO-000054,RTL-KRG,P00004,Temporary Price Reduction,2025-01-05,2025-01-18,6.36,5.09,20.0,None,781.55
PROMO-000055,RTL-KRG,P00005,Feature Ad,2025-01-19,2025-02-15,7.02,5.62,20.0,Aisle Display,6588.51
PROMO-000056,RTL-KRG,P00005,Digital Coupon,2025-01-03,2025-01-16,7.02,5.62,20.0,Digital Banner,1918.14
PROMO-000057,RTL-KRG,P00009,Feature Ad,2025-01-18,2025-02-14,2.71,2.17,20.0,Aisle Display,5182.43
PROMO-000058,RTL-KRG,P00009,Temporary Price Reduction,2025-01-02,2025-01-15,2.71,2.44,10.0,End Cap,3024.34
PROMO-000059,RTL-KRG,P00009,Temporary Price Reduction,2025-02-15,2025-02-21,2.71,2.44,10.0,None,704.61
PROMO-000060,RTL-KRG,P00010,Temporary Price Reduction,2025-01-03,2025-01-30,4.87,3.65,25.0,None,6148.85
PROMO-000061,RTL-KRG,P00010,Temporary Price Reduction,2025-02-14,2025-02-27,4.87,4.14,15.0,None,334.56
PROMO-000062,RTL-KRG,P00011,Display Only,2025-02-08,2025-02-21,6.9,5.87,15.0,None,3190.97
PROMO-000063,RTL-KRG,P00011,Digital Coupon,2025-01-18,2025-02-07,6.9,5.52,20.0,Aisle Display,4838.17
PROMO-000064,RTL-KRG,P00012,Feature + Display,2025-01-20,2025-01-26,9.81,8.34,15.0,Aisle Display,1298.31
PROMO-000065,RTL-KRG,P00012,Digital Coupon,2025-02-09,2025-02-15,9.81,7.85,20.0,End Cap,1974.62
PROMO-000066,RTL-KRG,P00012,Feature Ad,2025-01-29,2025-02-04,9.81,7.36,25.0,End Cap,312.68
PROMO-000067,RTL-KRG,P00012,Digital Coupon,2025-01-05,2025-01-18,9.81,8.34,15.0,Digital Banner,3204.2
PROMO-000068,RTL-KRG,P00012,Feature + Display,2025-02-20,2025-02-26,9.81,7.85,20.0,End Cap,292.6
PROMO-000069,RTL-AMZ,P00001,Display Only,2025-01-05,2025-01-11,2.52,2.02,20.0,Digital Banner,1798.51
PROMO-000070,RTL-AMZ,P00001,Temporary Price Reduction,2025-02-06,2025-02-26,2.52,2.14,15.0,End Cap,1822.61
PROMO-000071,RTL-AMZ,P00001,Feature Ad,2025-01-15,2025-01-28,2.52,2.02,20.0,Aisle Display,1483.99
PROMO-000072,RTL-AMZ,P00002,Digital Coupon,2025-01-18,2025-01-24,4.18,3.13,25.0,Front of Store,1397.24
PROMO-000073,RTL-AMZ,P00002,Temporary Price Reduction,2025-02-20,2025-02-26,4.18,3.55,15.0,End Cap,1707.07
PROMO-000074,RTL-AMZ,P00002,Display Only,2025-02-01,2025-02-14,4.18,3.34,20.0,End Cap,3733.09
PROMO-000075,RTL-AMZ,P00003,Temporary Price Reduction,2025-02-07,2025-02-20,4.7,4.23,10.0,End Cap,3342.29
PROMO-000076,RTL-AMZ,P00003,Display Only,2025-01-01,2025-01-07,4.7,4.23,10.0,Front of Store,1544.72
PROMO-000077,RTL-AMZ,P00004,Temporary Price Reduction,2025-02-07,2025-02-20,6.32,5.69,10.0,None,2322.38
PROMO-000078,RTL-AMZ,P00004,Digital Coupon,2025-01-03,2025-01-16,6.32,5.06,20.0,Digital Banner,2063.32
PROMO-000079,RTL-AMZ,P00004,Temporary Price Reduction,2025-01-24,2025-01-30,6.32,4.74,25.0,Digital Banner,729.76
PROMO-000080,RTL-AMZ,P00004,Display Only,2025-01-31,2025-02-06,6.32,5.37,15.0,None,1632.6
PROMO-000081,RTL-AMZ,P00005,Temporary Price Reduction,2025-02-10,2025-02-16,6.39,5.11,20.0,Digital Banner,129.98
PROMO-000082,RTL-AMZ,P00005,Digital Coupon,2025-01-07,2025-01-13,6.39,4.47,30.0,None,888.67
PROMO-000083,RTL-AMZ,P00005,Temporary Price Reduction,2025-02-01,2025-02-07,6.39,5.11,20.0,None,721.01
PROMO-000084,RTL-AMZ,P00005,Temporary Price Reduction,2025-01-17,2025-01-23,6.39,4.79,25.0,None,270.5
PROMO-000085,RTL-AMZ,P00006,Digital Coupon,2025-02-07,2025-02-13,6.22,5.29,15.0,Aisle Display,1831.29
PROMO-000086,RTL-AMZ,P00006,Feature Ad,2025-01-14,2025-01-20,6.22,5.29,15.0,End Cap,308.14
PROMO-000087,RTL-AMZ,P00006,Digital Coupon,2025-01-27,2025-02-02,6.22,5.29,15.0,Digital Banner,1986.44
PROMO-000088,RTL-AMZ,P00006,Feature Ad,2025-02-14,2025-02-20,6.22,5.6,10.0,End Cap,1191.57
PROMO-000089,RTL-AMZ,P00006,Temporary Price Reduction,2025-01-05,2025-01-11,6.22,5.29,15.0,Aisle Display,1515.54
PROMO-000090,RTL-AMZ,P00007,Feature Ad,2025-01-04,2025-01-10,2.26,1.81,20.0,None,342.41
PROMO-000091,RTL-AMZ,P00007,Digital Coupon,2025-02-04,2025-02-17,2.26,1.92,15.0,End Cap,659.6
