retailer_id,store_id,retailer_product_id,snapshot_date,on_hand_units,on_order_units,reserved_qty,available_units
RTL-WMT,S-WMT-0002,WMT-190652,2025-01-08,1,30.0,0,1
RTL-WMT,S-WMT-0001,WMT-495731,2025-01-08,0,40.0,0,0
RTL-WMT,S-WMT-0002,WMT-495731,2025-01-08,0,73.0,0,0
RTL-WMT,S-WMT-0003,WMT-495731,2025-01-08,0,53.0,0,0
RTL-WMT,S-WMT-0003,WMT-569754,2025-01-08,0,68.0,0,0
RTL-WMT,S-WMT-0003,WMT-505726,2025-01-08,6,30.0,0,6
RTL-WMT,S-WMT-0002,WMT-636358,2025-01-08,56,138.0,4,52
RTL-WMT,S-WMT-0002,WMT-925729,2025-01-08,82,38.0,5,77
RTL-WMT,S-WMT-0003,WMT-925729,2025-01-08,49,35.0,0,49
RTL-WMT,S-WMT-0001,WMT-934754,2025-01-08,2,14.0,0,2
RTL-WMT,S-WMT-0002,WMT-934754,2025-01-08,4,58.0,0,4
RTL-WMT,S-WMT-0003,WMT-934754,2025-01-08,2,34.0,0,2
RTL-TGT,S-TGT-0004,TGT-458753,2025-01-08,4,32.0,0,4
RTL-TGT,S-TGT-0005,TGT-458753,2025-01-08,4,28.0,0,4
RTL-TGT,S-TGT-0005,TGT-648173,2025-01-08,5,34.0,0,5
RTL-TGT,S-TGT-0004,TGT-656076,2025-01-08,1,58.0,0,1
RTL-TGT,S-TGT-0005,TGT-292925,2025-01-08,12,57.0,0,12
RTL-TGT,S-TGT-0005,TGT-833452,2025-01-08,5,10.0,0,5
RTL-KRG,S-KRG-0006,KRG-576632,2025-01-08,4,28.0,0,4
RTL-KRG,S-KRG-0007,KRG-576632,2025-01-08,3,13.0,0,3
RTL-KRG,S-KRG-0007,KRG-302343,2025-01-08,0,23.0,0,0
RTL-KRG,S-KRG-0006,KRG-655748,2025-01-08,0,20.0,0,0
RTL-AMZ,S-AMZ-0008,AMZ-587168,2025-01-08,11,95.0,1,10
RTL-AMZ,S-AMZ-0008,AMZ-906944,2025-01-08,11,98.0,1,10
RTL-AMZ,S-AMZ-0008,AMZ-291008,2025-01-08,1,200.0,0,1
RTL-AMZ,S-AMZ-0008,AMZ-168136,2025-01-08,0,103.0,0,0
RTL-AMZ,S-AMZ-0008,AMZ-225608,2025-01-08,0,42.0,0,0
