retailer_id,store_id,retailer_product_id,transaction_date,units_sold,gross_sales,discount_amount,net_sales,regular_price,selling_price,sales_channel
RTL-WMT,S-WMT-0001,WMT-190652,2025-01-11,3,6.54,0.66,5.88,2.18,1.96,IN_STORE
RTL-WMT,S-WMT-0002,WMT-190652,2025-01-11,5,10.9,1.1,9.8,2.18,1.96,IN_STORE
RTL-WMT,S-WMT-0003,WMT-190652,2025-01-12,3,6.54,0.66,5.88,2.18,1.96,IN_STORE
RTL-WMT,S-WMT-0001,WMT-495731,2025-01-12,8,34.24,6.88,27.36,4.28,3.42,IN_STORE
RTL-WMT,S-WMT-0002,WMT-495731,2025-01-11,11,47.08,9.46,37.62,4.28,3.42,IN_STORE
RTL-WMT,S-WMT-0002,WMT-495731,2025-01-12,13,55.64,11.18,44.46,4.28,3.42,IN_STORE
RTL-WMT,S-WMT-0003,WMT-495731,2025-01-11,7,29.96,6.02,23.94,4.28,3.42,IN_STORE
RTL-WMT,S-WMT-0002,WMT-808690,2025-01-12,10,57.7,8.7,49.0,5.77,4.9,RETAILER_ONLINE
RTL-WMT,S-WMT-0003,WMT-808690,2025-01-12,9,51.93,7.83,44.1,5.77,4.9,IN_STORE
RTL-WMT,S-WMT-0001,WMT-569754,2025-01-12,9,53.1,10.62,42.48,5.9,4.72,IN_STORE
RTL-WMT,S-WMT-0002,WMT-569754,2025-01-11,19,112.1,22.42,89.68,5.9,4.72,IN_STORE
RTL-WMT,S-WMT-0003,WMT-569754,2025-01-11,4,23.6,4.72,18.88,5.9,4.72,IN_STORE
RTL-WMT,S-WMT-0003,WMT-569754,2025-01-12,4,23.6,4.72,18.88,5.9,4.72,IN_STORE
RTL-WMT,S-WMT-0001,WMT-505726,2025-01-11,7,14.28,2.87,11.41,2.04,1.63,IN_STORE
RTL-WMT,S-WMT-0001,WMT-505726,2025-01-12,1,2.04,0.41,1.63,2.04,1.63,IN_STORE
RTL-WMT,S-WMT-0003,WMT-505726,2025-01-11,9,18.36,3.69,14.67,2.04,1.63,IN_STORE
RTL-WMT,S-WMT-0001,WMT-636358,2025-01-12,37,50.69,12.58,38.11,1.37,1.03,IN_STORE
RTL-WMT,S-WMT-0002,WMT-636358,2025-01-11,64,87.68,21.76,65.92,1.37,1.03,IN_STORE
RTL-WMT,S-WMT-0002,WMT-636358,2025-01-12,48,65.76,16.32,49.44,1.37,1.03,IN_STORE
RTL-WMT,S-WMT-0003,WMT-636358,2025-01-11,69,94.53,23.46,71.07,1.37,1.03,IN_STORE
RTL-WMT,S-WMT-0003,WMT-636358,2025-01-12,52,71.24,17.68,53.56,1.37,1.03,IN_STORE
RTL-WMT,S-WMT-0001,WMT-925729,2025-01-11,5,12.75,0.0,12.75,2.55,2.55,IN_STORE
RTL-WMT,S-WMT-0002,WMT-925729,2025-01-12,3,7.65,0.0,7.65,2.55,2.55,IN_STORE
RTL-WMT,S-WMT-0003,WMT-925729,2025-01-11,1,2.55,0.0,2.55,2.55,2.55,IN_STORE
RTL-WMT,S-WMT-0003,WMT-925729,2025-01-12,1,2.55,0.0,2.55,2.55,2.55,IN_STORE
RTL-WMT,S-WMT-0001,WMT-934754,2025-01-11,2,11.16,1.12,10.04,5.58,5.02,IN_STORE
RTL-TGT,S-TGT-0005,TGT-648173,2025-01-11,6,24.42,0.0,24.42,4.07,4.07,IN_STORE
RTL-TGT,S-TGT-0005,TGT-648173,2025-01-12,5,20.35,0.0,20.35,4.07,4.07,IN_STORE
RTL-TGT,S-TGT-0005,TGT-656076,2025-01-11,13,59.67,14.95,44.72,4.59,3.44,IN_STORE
RTL-TGT,S-TGT-0005,TGT-656076,2025-01-12,5,22.95,5.75,17.2,4.59,3.44,IN_STORE
RTL-TGT,S-TGT-0004,TGT-292925,2025-01-11,5,30.0,4.5,25.5,6.0,5.1,IN_STORE
RTL-TGT,S-TGT-0004,TGT-591638,2025-01-12,7,9.73,0.0,9.73,1.39,1.39,IN_STORE
RTL-TGT,S-TGT-0005,TGT-591638,2025-01-11,3,4.17,0.0,4.17,1.39,1.39,IN_STORE
RTL-TGT,S-TGT-0005,TGT-591638,2025-01-12,2,2.78,0.0,2.78,1.39,1.39,RETAILER_ONLINE
RTL-KRG,S-KRG-0007,KRG-655748,2025-01-11,4,10.84,1.08,9.76,2.71,2.44,IN_STORE
RTL-KRG,S-KRG-0006,KRG-167383,2025-01-11,3,20.7,0.0,20.7,6.9,6.9,IN_STORE
RTL-KRG,S-KRG-0006,KRG-167383,2025-01-12,2,13.8,0.0,13.8,6.9,6.9,IN_STORE
RTL-KRG,S-KRG-0007,KRG-167383,2025-01-11,3,20.7,0.0,20.7,6.9,6.9,IN_STORE
RTL-AMZ,S-AMZ-0008,AMZ-687247,2025-01-12,7,17.64,0.0,17.64,2.52,2.52,MARKETPLACE
RTL-AMZ,S-AMZ-0008,AMZ-587168,2025-01-11,7,29.26,0.0,29.26,4.18,4.18,MARKETPLACE
RTL-AMZ,S-AMZ-0008,AMZ-587168,2025-01-12,9,37.62,0.0,37.62,4.18,4.18,MARKETPLACE
RTL-AMZ,S-AMZ-0008,AMZ-842746,2025-01-11,10,47.0,0.0,47.0,4.7,4.7,MARKETPLACE
RTL-AMZ,S-AMZ-0008,AMZ-973034,2025-01-11,18,113.76,22.68,91.08,6.32,5.06,MARKETPLACE
RTL-AMZ,S-AMZ-0008,AMZ-973034,2025-01-12,21,132.72,26.46,106.26,6.32,5.06,MARKETPLACE
RTL-AMZ,S-AMZ-0008,AMZ-474194,2025-01-12,1,6.22,0.0,6.22,6.22,6.22,MARKETPLACE
RTL-AMZ,S-AMZ-0008,AMZ-291008,2025-01-11,10,15.3,0.0,15.3,1.53,1.53,MARKETPLACE
RTL-AMZ,S-AMZ-0008,AMZ-291008,2025-01-12,25,38.25,9.5,28.75,1.53,1.15,MARKETPLACE
